quarter_start_date,year,quarter,quarter_num,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2015-01-01,2015,Q1,1,64.61673605209612,104988.540399789,0.00171565823502235,0.07115750773001517,104988.540399789,Low_Cost,0,101289.007062537,98014.1012336077,179.81595120299608,6974.439166181299,1716.8684733564387
2015-04-01,2015,Q2,2,66.5971729454639,108206.331818732,0.0306489775616504,0.06829294665634195,108206.331818732,Low_Cost,0,103262.631987504,101289.007062537,3217.791418943001,6917.3247561949975,2076.4469051903498
2015-07-01,2015,Q3,3,68.56319297662952,111400.698883364,0.02952107340615781,0.0788094080038981,111400.698883364,Low_Cost,0,104808.724448586,103262.631987504,3194.3670646320097,8138.06689586,3118.5484810599546
2015-10-01,2015,Q4,4,69.16886863271952,112384.793824918,0.00883383094915738,0.072284720725209,112384.793824918,Low_Cost,0,104988.540399789,104808.724448586,984.0949415539944,7576.069376332001,3351.697223022198
2016-01-01,2016,Q1,1,69.22433758990198,112474.919157887,8.01935296599841e-4,0.0713066276527967,112474.919157887,Low_Cost,0,108206.331818732,104988.540399789,90.12533296899346,7486.378758097999,2000.3099380798303
2016-04-01,2016,Q2,2,71.78620084356034,116637.4055374,0.03700812955170939,0.07791663922950169,116637.4055374,Low_Cost,0,111400.698883364,108206.331818732,4162.486379513008,8431.073718668005,2326.7396796989424
2016-07-01,2016,Q3,3,72.64900478440752,118039.279601848,0.0120190779106342,0.0595919126632666,118039.279601848,Low_Cost,0,112384.793824918,111400.698883364,1401.8740644479985,6638.580718483994,2891.3619809241964
2016-10-01,2016,Q4,4,72.84038364913825,118350.229812259,0.00263429437607104,0.05308045496470585,118350.229812259,Medium_Cost,0,112474.919157887,112384.793824918,310.9502104109997,5965.435987340999,2704.9858782410074
2017-01-01,2017,Q1,1,72.68118630953501,118091.567779144,-0.0021855642656973,0.04993689849532476,118091.567779144,Low_Cost,0,116637.4055374,112474.919157887,-258.6620331150043,5616.648621257002,773.5166367876266
2017-04-01,2017,Q2,2,74.07481482501738,120355.919596328,0.01917454277021819,0.03188097370474439,120355.919596328,Medium_Cost,0,118039.279601848,116637.4055374,2264.3518171840115,3718.5140589280054,1106.1657372858738
2017-07-01,2017,Q3,3,75.06463450538452,121964.167394807,0.01336243205879525,0.03325069253385637,121964.167394807,Medium_Cost,0,118350.229812259,118039.279601848,1608.2477984789875,3924.8877929589944,1822.5673358474548
2017-10-01,2017,Q4,4,75.48602208631351,122648.833160479,0.00561366326107624,0.03632103930038217,122648.833160479,Medium_Cost,0,118091.567779144,118350.229812259,684.6657656720054,4298.60334822,2024.962252648091
2018-01-01,2018,Q1,1,75.8880825019512,123302.096367032,0.00532628961661221,0.04412278273442937,123302.096367032,Medium_Cost,0,120355.919596328,118091.567779144,653.2632065530051,5210.5285878880095,1265.222151793055
2018-04-01,2018,Q2,2,76.9384179416575,125008.669485427,0.01384058478061158,0.03865825548676218,125008.669485427,Medium_Cost,0,121964.167394807,120355.919596328,1706.5731183949974,4652.7498890989955,1304.983596039951
2018-07-01,2018,Q3,3,78.40869145982639,127397.553234314,0.01910974461788116,0.04454903399552279,127397.553234314,Medium_Cost,0,122648.833160479,121964.167394807,2388.8837488869904,5433.385839506998,2120.099191136966
2018-10-01,2018,Q4,4,79.65781854225776,129427.12076079202,0.01593097728293778,0.05526581399631921,129427.12076079202,Medium_Cost,0,123302.096367032,122648.833160479,2029.5675264780293,6778.287600313022,2685.6052106144866
2019-01-01,2019,Q1,1,78.8830639136432,128168.30822094702,-0.00972603371260485,0.03946576738995862,128168.30822094702,Medium_Cost,0,125008.669485427,123302.096367032,-1258.8125398450065,4866.211853915011,1859.897192093658
2019-04-01,2019,Q2,2,79.77204843571145,129612.720197044,0.01126965001057092,0.03682985132606566,129612.720197044,Medium_Cost,0,127397.553234314,125008.669485427,1444.411976096977,4604.05071161699,1053.785018580827
2019-07-01,2019,Q3,3,81.44808833101844,132335.93082344,0.02101036551239763,0.03876351989306344,132335.93082344,Medium_Cost,0,129427.12076079202,127397.553234314,2723.2106263960013,4938.377589126001,1754.7913544300407
2019-10-01,2019,Q4,4,81.62506467395869,132623.47997967803,0.00217287288832353,0.02469620895602766,132623.47997967803,Medium_Cost,0,128168.30822094702,129427.12076079202,287.5491562380339,3196.3592188860057,2157.6838395023055
2020-01-01,2020,Q1,1,81.96347382385316,133173.32333104598,0.00414589747948388,0.03905033295337295,133173.32333104598,Medium_Cost,0,129612.720197044,128168.30822094702,549.8433513679483,5005.015110098961,1587.5737175114832
