quarter_start_date,year,quarter,quarter_num,quarterly_births,emp_rate,emp_at_conception,emp_momentum_lag3,emp_volatility_lag3,emp_regime_at_conception,is_emp_peak_at_conception,he_pct,fe_pct,total_girls,he_at_conception,fe_at_conception,is_edu_covid_grading,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2013-07-01,2013,Q3,3,6456,62.2,63.7,0,0.3304037933599842,Low_Intensity,0,48.7,33.2,11255,49.3,33.275,0,58.923105552540065,95737.59409321308,0.01950262444814575,-0.0090230171900079,95737.59409321308,Low_Cost,0,94301.0232301087,96609.3014811925,1831.41690702326,-871.7073879794189,1454.5193413153631
2013-10-01,2013,Q4,4,5931,63.7,63.2,-0.29999999999999716,0.3109126351029615,Low_Intensity,0,48.55,33.45,11192.25,49.1,33.25,0,59.33941503294812,96414.0090187116,0.00706530106490808,0.02240681719271398,96414.0090187116,Low_Cost,0,92201.7787852327,94301.0232301087,676.4149254985241,2112.985788602906,1898.4794986195443
2014-01-01,2014,Q1,1,5857,64.2,62.1,-0.8999999999999986,0.6701989754294373,Low_Intensity,0,48.400000000000006,33.7,11129.5,48.900000000000006,33.225,0,60.324215239858766,98014.1012336077,0.01659605519137389,0.0630391574322425,98014.1012336077,Low_Cost,0,93906.17718618982,92201.7787852327,1600.0922148960965,5812.322448374995,1700.9474167546125
2014-04-01,2014,Q2,2,5943,64.3,62.2,-0.8999999999999986,0.7788880963698619,Low_Intensity,0,48.25,33.95,11066.75,48.7,33.2,0,62.33980403400293,101289.007062537,0.0334125986741784,0.07861921438574485,101289.007062537,Low_Cost,0,95737.59409321308,93906.17718618982,3274.9058289293025,7382.829876347183,2475.027223411061
2014-07-01,2014,Q3,3,6474,64.1,63.7,0,0.7788880963698619,Low_Intensity,0,48.1,34.2,11004,48.55,33.45,0,63.55450042235985,103262.631987504,0.01948508512626021,0.07860065803371655,103262.631987504,Low_Cost,0,96414.0090187116,95737.59409321308,1973.6249249670072,7525.03789429093,3101.0323039210803
2014-10-01,2014,Q4,4,6121,62.9,64.2,1,1.05987420637231,Transition,0,48.625,33.825,10995,48.400000000000006,33.7,0,64.5060656892874,104808.724448586,0.01497242934180573,0.08706945718070365,104808.724448586,Low_Cost,0,98014.1012336077,96414.0090187116,1546.092461081993,8394.715429874399,2931.339222050702
2015-01-01,2015,Q1,1,5704,63.4,64.3,2.1999999999999957,0.9695359714832644,Transition,0,49.150000000000006,33.45,10986,48.25,33.95,0,64.61673605209612,104988.540399789,0.00171565823502235,0.07115750773001517,104988.540399789,Low_Cost,0,101289.007062537,98014.1012336077,179.81595120299608,6974.439166181299,1716.8684733564387
2015-04-01,2015,Q2,2,5891,63.4,64.1,1.8999999999999917,0.26299556396765644,Transition,0,49.675,33.075,10977,48.1,34.2,0,66.5971729454639,108206.331818732,0.0306489775616504,0.06829294665634195,108206.331818732,Low_Cost,0,103262.631987504,101289.007062537,3217.791418943001,6917.3247561949975,2076.4469051903498
2015-07-01,2015,Q3,3,6475,62.6,62.9,-0.8000000000000043,0.6551081335677847,Low_Intensity,0,50.2,32.7,10968,48.625,33.825,0,68.56319297662952,111400.698883364,0.02952107340615781,0.0788094080038981,111400.698883364,Low_Cost,0,104808.724448586,103262.631987504,3194.3670646320097,8138.06689586,3118.5484810599546
2015-10-01,2015,Q4,4,6192,62.6,63.4,-0.8000000000000043,0.6448514040717687,Low_Intensity,0,50.225,32.550000000000004,11022,49.150000000000006,33.45,0,69.16886863271952,112384.793824918,0.00883383094915738,0.072284720725209,112384.793824918,Low_Cost,0,104988.540399789,104808.724448586,984.0949415539944,7576.069376332001,3351.697223022198
2016-01-01,2016,Q1,1,5744,63.5,63.4,-0.8999999999999986,0.49328828623162285,Low_Intensity,0,50.25,32.400000000000006,11076,49.675,33.075,0,69.22433758990198,112474.919157887,8.01935296599841e-4,0.0713066276527967,112474.919157887,Low_Cost,0,108206.331818732,104988.540399789,90.12533296899346,7486.378758097999,2000.3099380798303
2016-04-01,2016,Q2,2,5967,65.1,62.6,-1.499999999999993,0.39475730941089926,Low_Intensity,0,50.275,32.25,11130,50.2,32.7,0,71.78620084356034,116637.4055374,0.03700812955170939,0.07791663922950169,116637.4055374,Low_Cost,0,111400.698883364,108206.331818732,4162.486379513008,8431.073718668005,2326.7396796989424
2016-07-01,2016,Q3,3,6289,67,62.6,-0.29999999999999716,0.461880215351699,Low_Intensity,0,50.3,32.1,11184,50.225,32.550000000000004,0,72.64900478440752,118039.279601848,0.0120190779106342,0.0595919126632666,118039.279601848,Low_Cost,0,112384.793824918,111400.698883364,1401.8740644479983,6638.580718483994,2891.3619809241964
2016-10-01,2016,Q4,4,6056,66.2,63.5,0.10000000000000142,0.492442890089804,Low_Intensity,0,50.5,32.075,11087.5,50.25,32.400000000000006,0,72.84038364913825,118350.229812259,0.00263429437607104,0.05308045496470585,118350.229812259,Medium_Cost,0,112474.919157887,112384.793824918,310.9502104109997,5965.435987340999,2704.9858782410074
2017-01-01,2017,Q1,1,5638,65.1,65.1,1.6999999999999955,1.178982612255156,Transition,0,50.7,32.05,10991,50.275,32.25,0,72.68118630953501,118091.567779144,-0.0021855642656973,0.04993689849532476,118091.567779144,Low_Cost,0,116637.4055374,112474.919157887,-258.6620331150043,5616.648621257002,773.5166367876266
2017-04-01,2017,Q2,2,5595,66.5,67,4.399999999999999,1.9330459556530628,Transition,0,50.9,32.025,10894.5,50.3,32.1,0,74.07481482501738,120355.919596328,0.01917454277021819,0.03188097370474439,120355.919596328,Medium_Cost,0,118039.279601848,116637.4055374,2264.3518171840115,3718.5140589280054,1106.1657372858738
2017-07-01,2017,Q3,3,6086,64.2,66.2,3.6000000000000014,1.5154757228892417,Transition,0,51.1,32,10798,50.5,32.075,0,75.06463450538452,121964.167394807,0.01336243205879525,0.03325069253385637,121964.167394807,Medium_Cost,0,118350.229812259,118039.279601848,1608.2477984789875,3924.8877929589944,1822.5673358474548
2017-10-01,2017,Q4,4,5856,65.2,65.1,1.5999999999999943,0.9255628917943248,Transition,0,51,32.1,10693.75,50.7,32.05,0,75.48602208631351,122648.833160479,0.00561366326107624,0.03632103930038217,122648.833160479,Medium_Cost,0,118091.567779144,118350.229812259,684.6657656720054,4298.60334822,2024.962252648091
